DATE,Cocoa,Sugar,Arabica Coffee
9/1/1989,1140,14.13000107,77.83999634
10/1/1989,1064,14.43999863,67.76000977
11/1/1989,1010,15.02000046,70.72000122
12/1/1989,970,13.43000031,72.54998779
1/1/1990,995,14.20000076,75.82998657
2/1/1990,1022,14.65000153,84.01000977
3/1/1990,1131,15.31000137,93.95999146
4/1/1990,1336,15.24000168,93.73001099
5/1/1990,1443,14.61999893,92.01998901
6/1/1990,1330,12.97000122,88.26000977
7/1/1990,1346,12,86.48001099
8/1/1990,1284,10.93000031,94.42001343
9/1/1990,1371,11.02000046,94.92001343
10/1/1990,1309,9.38999939,91.41000366
11/1/1990,1352,10.06000137,84.83999634
12/1/1990,1297,9.740001678,89.89001465
1/1/1991,1242,8.799999237,86.32000732
2/1/1991,1215,8.509998322,89.57000732
3/1/1991,1211,9.13999939,93.72000122
4/1/1991,1144,8.509998322,92.26998901
5/1/1991,1063.399902,7.588099957,87.58999634
6/1/1991,1041.47998,9.200000763,85.5
7/1/1991,996.8552246,10.3219986,82.80825806
8/1/1991,1136.351318,9.588298798,81.61880493
9/1/1991,1273.319824,9.295501709,87.45098877
10/1/1991,1304.399902,9.125881195,79.86181641
11/1/1991,1316.935059,8.63299942,78.51779175
12/1/1991,1366.609131,9.001903534,75.09667969
1/1/1992,1281.568115,8.424091339,72.990448
2/1/1992,1191.048584,7.842999935,67.8821106
3/1/1992,1127.963623,8.250453949,70.14334106
4/1/1992,1045.480225,9.455715179,65.42999268
5/1/1992,995.3112793,9.613334656,60.25699997
6/1/1992,962.6320801,10.34772873,58.37545395
7/1/1992,1105.238281,10.31217575,57.68227386
8/1/1992,1182.10791,9.864761353,52.42476273
9/1/1992,1118.927734,9.312274933,52.72618866
10/1/1992,1071.475342,8.70545578,61.39545441
11/1/1992,1076.384521,8.559524536,67.13278198
12/1/1992,1034.9021,8.148636818,77.4645462
1/1/1993,1035.569702,8.237999916,68.65899658
2/1/1993,990.991333,8.559499741,67.46157837
3/1/1993,977.3189087,10.62478256,62.76913071
4/1/1993,1010.747864,11.15380955,56.88047791
5/1/1993,998.0666504,11.82800007,61.47600174
6/1/1993,941.6854248,10.39863682,61.98545456
7/1/1993,1058.643677,9.675000191,71.55666351
8/1/1993,1087.172607,9.342272758,76.557724
9/1/1993,1263.301147,9.535908699,79.81782532
10/1/1993,1290.472046,10.29476166,75.05142975
11/1/1993,1321.776367,10.07409096,77.0684967
12/1/1993,1359.50708,10.52260876,80.00428772
1/1/1994,1263.626221,10.29904747,77.20952606
2/1/1994,1226.593994,10.82250023,82.16473389
3/1/1994,1307.188843,11.72913074,85.56912994
4/1/1994,1244.001831,11.01350021,89.22842407
5/1/1994,1378.693359,11.57999992,121.9842834
6/1/1994,1458.948486,12.04818153,142.5604553
7/1/1994,1555.869141,11.77428532,217.6670074
8/1/1994,1551.171143,12.09478283,198.0730438
9/1/1994,1486.26355,12.59409046,220.1023865
10/1/1994,1447.707642,12.75809479,198.6757202
11/1/1994,1430.616089,13.92590904,181.6443634
12/1/1994,1397.506958,14.67476177,167.4733276
1/1/1995,1467.558472,14.79500008,172.3336792
2/1/1995,1510.632324,14.40750027,168.7110596
3/1/1995,1484.931885,14.5934782,178.2169495
4/1/1995,1463.965576,13.60526276,172.807373
5/1/1995,1448.408936,13.52227306,168.8331757
6/1/1995,1437.169556,14.02045441,152.2459106
7/1/1995,1360.762695,13.59238052,143.8331604
8/1/1995,1410.494629,12.98086929,151.4121704
9/1/1995,1395.075317,11.68999958,131.8699951
10/1/1995,1394.640137,11.83727264,125.3804626
11/1/1995,1435.903198,11.98409081,123.2310028
12/1/1995,1380.961914,12.31000042,103.9921036
1/1/1996,1349.112671,12.53363609,109.3799973
2/1/1996,1370.553345,12.81857109,123.7900009
3/1/1996,1338.600342,12.89904785,119.0461884
4/1/1996,1457.331177,11.98380947,122.0080872
5/1/1996,1524.441406,11.37772751,128.5595398
6/1/1996,1537.562134,12.17399979,127.9079971
7/1/1996,1490.377075,12.80695629,120.4719086
8/1/1996,1501.718872,12.36636353,122.4850006
9/1/1996,1475.952881,11.91571426,114.0459976
10/1/1996,1477.580078,11.12391281,120.619133
11/1/1996,1465.535034,10.72476196,119.6105576
12/1/1996,1474.232422,10.73799992,115.0052567
1/1/1997,1428.790649,10.69190502,131.8300018
2/1/1997,1373.284058,10.81299973,167.1999969
3/1/1997,1521.875488,11.14099979,193.8164978
4/1/1997,1570.614868,11.29909134,204.4282074
5/1/1997,1568.298096,11.12818146,264.495697
6/1/1997,1693.623779,11.42904758,212.5514069
7/1/1997,1677.431396,11.57217407,186.5195007
8/1/1997,1649.19458,11.70142841,185.1710052
9/1/1997,1765.584229,11.33136368,184.3800049
10/1/1997,1741.098755,11.38227272,161.4465179
11/1/1997,1696.373901,12.01200008,154.1477814
12/1/1997,1738.749268,12.32666683,174.2542114
1/1/1998,1670.671875,11.51850033,175.0352631
2/1/1998,1643.225952,10.71949959,175.8736877
3/1/1998,1721.063965,9.842272758,154.8209076
4/1/1998,1720.159424,9.676817894,147.0828552
5/1/1998,1781.408813,9.225500107,134.3464966
6/1/1998,1723.352051,8.098636627,121.5568161
7/1/1998,1712.243774,8.624761581,113.8600006
8/1/1998,1682.502319,8.482380867,119.8919067
9/1/1998,1685.862061,7.229090691,108.0723801
10/1/1998,1647.518677,7.46272707,107.0677261
11/1/1998,1599.911255,8.061429024,115.1447372
12/1/1998,1524.121338,8.076818466,116.0317612
1/1/1999,1455.78772,8.109000206,111.4768448
2/1/1999,1411.137425,6.8155,103.2415789
3/1/1999,1313.894943,6.025217391,103.2286957
4/1/1999,1177.88806,5.421904762,99.69428571
5/1/1999,1059.236346,5.7485,108.908
6/1/1999,1162.907405,6.038636364,104.205
7/1/1999,1113.239172,5.378181818,90.84952381
8/1/1999,1003.572746,5.723478261,87.64
9/1/1999,1060.561537,6.674545455,81.05904762
10/1/1999,1021.537216,6.754285714,92.19904762
11/1/1999,922.0766175,6.505,114.0173673
12/1/1999,918.7536856,5.982,123.5641176
1/1/2000,918.4817427,5.6295,109.166
